attributes,price,status,adress
 263 m² construidos | 3 recs. ,"14,600,000",Casa en venta ," CHUPICUARO, VERTIZ NARVARTE, BENITO JUAREZ - Vértiz Narvarte - Benito Juárez - Distrito Federal "
 380 m² construidos | 4 recs. ,"11,500,000",Casa en venta , Patricio Sanz - Del Valle Centro - Benito Juárez - Distrito Federal 
 700 m² construidos ,"39,000,000",Casa en venta , Adolfo Prieto - Del Valle Sur - Benito Juárez - Distrito Federal 
 365 m² construidos | 4 recs. ,"15,980,000",Casa en venta , Cerrada de José Ignacio de Bartolache 6 - Del Valle Sur - Benito Juárez - Distrito Federal 
 320 m² construidos | 3 recs. ,"14,800,000",Casa en venta , Adolfo Prieto - Del Valle Norte - Benito Juárez - Distrito Federal 
 85 m² construidos | 2 recs. ,"1,600,000",Casa en venta , Av de las Américas 0 - Moderna - Benito Juárez - Distrito Federal 
 553 m² construidos | 7 recs. ,"27,900,000",Casa en venta , Narvarte Poniente - Benito Juárez - Distrito Federal 
 170 m² construidos | 3 recs. ,"7,800,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 373 m² construidos | 3 recs. ,"15,000,000",Casa en venta , pitagoras - Narvarte Poniente - Benito Juárez - Distrito Federal 
 261 m² construidos | 3 recs. ,"10,800,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 280 m² construidos | 4 recs. ,"12,300,000",Casa en venta , La Morena - Del Valle Norte - Benito Juárez - Distrito Federal 
 320 m² construidos | 4 recs. ,"14,800,000",Casa en venta , Cerrada Amores 28 - Del Valle Norte - Benito Juárez - Distrito Federal 
 248 m² construidos | 3 recs. ,"12,900,000",Casa en venta , Luis Carraci - Extremadura Insurgentes - Benito Juárez - Distrito Federal 
 286 m² construidos | 4 recs. ,"11,353,000",Casa en venta , Providencia 716 Casa 5 - Del Valle Norte - Benito Juárez - Distrito Federal 
 278 m² construidos | 3 recs. ,"8,890,000",Casa en venta , Calle 9 103 bis - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 750 m² construidos | 7 recs. ,"20,000,000",Casa en venta , Avenida 3 00 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 389 m² construidos | 4 recs. ,"15,000,000",Casa en venta , ANEXAGORAS 55 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 251 m² construidos | 3 recs. ,"14,916,609",Casa en venta ," Casa en Preventa en Del Valle Sur, Benito Juarez, Ciudad de México. - Benito Juárez - Distrito Federal "
 247 m² construidos | 3 recs. ,"15,046,668",Casa en venta , Del Valle Sur - Benito Juárez - Distrito Federal 
 227 m² construidos | 3 recs. ,"9,500,000",Casa en venta , Aniceto Ortega - Del Valle Sur - Benito Juárez - Distrito Federal 
 330 m² construidos | 8 recs. ,"22,000,000",Casa en venta , Adolfo Prieto - Del Valle Centro - Benito Juárez - Distrito Federal 
 264 m² construidos | 6 recs. ,"3,500,000",Casa en venta , Avenida Emperadores 80 - Portales - Benito Juárez - Distrito Federal 
 512 m² construidos | 4 recs. ,"14,400,000",Casa en venta , López Cotilla 830 - Del Valle Centro - Benito Juárez - Distrito Federal 
 147 m² construidos | 3 recs. ,"6,980,000",Casa en venta , CHARCO AZUL - Mixcoac - Benito Juárez - Distrito Federal 
 400 m² construidos | 3 recs. ,"13,000,000",Casa en venta , San José Insurgentes - Benito Juárez - Distrito Federal 
 228 m² construidos | 3 recs. ,"12,900,000",Casa en venta , Dallas - Nápoles - Benito Juárez - Distrito Federal 
 260 m² construidos | 3 recs. ,"11,675,000",Casa en venta , Juan Sánchez Azcona - Del Valle Centro - Benito Juárez - Distrito Federal 
 500 m² construidos | 8 recs. ,"9,900,000",Casa en venta , Villa De Cortes - Benito Juárez - Distrito Federal 
 428 m² construidos | 4 recs. ,"13,000,000",Casa en venta , Letran Valle - Benito Juárez - Distrito Federal 
 334 m² construidos | 5 recs. ,"12,800,000",Casa en venta , Mayorazgo de Luyando 3 - Xoco - Benito Juárez - Distrito Federal 
 420 m² construidos | 5 recs. ,"14,500,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 268 m² construidos | 3 recs. ,"10,240,000",Casa en venta , Xoco - Benito Juárez - Distrito Federal 
 290 m² construidos | 4 recs. ,"13,200,000",Casa en venta , Gral. Pedro María Anaya - Gral. Pedro María Anaya - Benito Juárez - Distrito Federal 
 188 m² construidos | 3 recs. ,"7,450,000",Casa en venta , Del Valle Norte - Benito Juárez - Distrito Federal 
 280 m² construidos | 5 recs. ,"7,500,000",Casa en venta , Martin Mendalde 1443 - Del Valle Sur - Benito Juárez - Distrito Federal 
 325 m² construidos | 3 recs. ,"11,900,000",Casa en venta , SALOME PIÑA 26 - San José Insurgentes - Benito Juárez - Distrito Federal 
 230 m² construidos | 4 recs. ,"8,500,000",Casa en venta , Pestalozzi - Narvarte Poniente - Benito Juárez - Distrito Federal 
 210 m² construidos | 5 recs. ,"14,000,000",Casa en venta , Manuel López Cotilla - Del Valle Centro - Benito Juárez - Distrito Federal 
 600 m² construidos | 5 recs. ,"40,000,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 250 m² construidos | 5 recs. ,"6,870,000",Casa en venta , tripoli 711 - Portales Sur - Benito Juárez - Distrito Federal 
 195 m² construidos | 3 recs. ,"6,950,000",Casa en venta , amores - Del Valle Centro - Benito Juárez - Distrito Federal 
 260 m² construidos | 2 recs. ,"8,000,000",Casa en venta , Javier Sorondo - Villa De Cortes - Benito Juárez - Distrito Federal 
 235 m² construidos | 3 recs. ,"14,268,042",Casa en venta ," Casa en Preventa en Del Valle Sur, Benito Juarez, Ciudad de México. - Benito Juárez - Distrito Federal "
 249 m² construidos | 3 recs. ,"15,219,666",Casa en venta ," Casa en Preventa en Del Valle Sur, Benito Juarez, Ciudad de México. - Benito Juárez - Distrito Federal "
 263 m² construidos | 4 recs. ,"2,570,000",Casa en venta , San Francisco 0 - Del Valle Centro - Benito Juárez - Distrito Federal 
 720 m² construidos | 20 recs. ,"39,500,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 204 m² construidos | 3 recs. ,"7,600,000",Casa en venta , Mariscal Sucre 00 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 307 m² construidos | 4 recs. ,"10,800,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 350 m² construidos | 5 recs. ,"10,000,000",Casa en venta , Calle 22 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 213 m² construidos | 3 recs. ,"9,990,000",Casa en venta , Cerrada Jose Ignacio de Bartolache 1 - Del Valle Centro - Benito Juárez - Distrito Federal 
 1200 m² construidos | 4 recs. ,"78,800,000",Casa en venta , Angel Urraza - Del Valle Sur - Benito Juárez - Distrito Federal 
 467 m² construidos | 5 recs. ,"13,220,000",Casa en venta , Xochicalco 668 - Letran Valle - Benito Juárez - Distrito Federal 
 360 m² construidos | 3 recs. ,"12,850,000",Casa en venta , Acacias - Benito Juárez - Distrito Federal 
 554 m² construidos | 6 recs. ,"24,300,000",Casa en venta , Camino a Santa Teresa - San José Insurgentes - Benito Juárez - Distrito Federal 
 220 m² construidos | 3 recs. ,"4,500,000",Casa en venta , Mercaderes - San José Insurgentes - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"2,000,000",Casa en venta , María Hernández Zarco 68 - Alamos - Benito Juárez - Distrito Federal 
 314 m² construidos | 4 recs. ,"12,800,000",Casa en venta , Juan Sánchez Azcona1552 - Del Valle Centro - Benito Juárez - Distrito Federal 
 343 m² construidos | 4 recs. ,"12,450,000",Casa en venta , Providencia 1117 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 233 m² construidos | 3 recs. ,"7,300,000",Casa en venta , Adolfo Prieto - Benito Juárez - Distrito Federal 
 360 m² construidos | 5 recs. ,"11,700,000",Casa en venta , Calle 17 1 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 243 m² construidos | 4 recs. ,"9,800,000",Casa en venta , Narvarte Poniente - Benito Juárez - Distrito Federal 
 700 m² construidos ,"30,950,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 167 m² construidos | 3 recs. ,"6,500,000",Casa en venta , Av. Primero de Mayo 152 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 505 m² construidos | 3 recs. ,"15,500,000",Casa en venta , Manuel Lopez Cotilla 1862 - Acacias - Benito Juárez - Distrito Federal 
 364 m² construidos | 4 recs. ,"10,350,000",Casa en venta , Bartolache 1147 - Del Valle Centro - Benito Juárez - Distrito Federal 
 335 m² construidos | 6 recs. ,"190,000",Casa en venta , Manuel López Cotilla 1 - Del Valle Sur - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"3,130,000",Casa en venta , Benito Juárez - Distrito Federal 
 224 m² construidos | 3 recs. ,"4,171,085",Casa en venta , Benito Juárez - Distrito Federal 
 258 m² construidos | 3 recs. ,"11,400,000",Casa en venta , Porfirio Díaz - Del Valle Centro - Benito Juárez - Distrito Federal 
 301 m² construidos | 4 recs. ,"11,800,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 436 m² construidos | 7 recs. ,"16,200,000",Casa en venta , Obrero Mundial 400 - Piedad Narvarte - Benito Juárez - Distrito Federal 
 224 m² construidos | 3 recs. ,"10,200,000",Casa en venta , Rodrigo Cifuentes - San José Insurgentes - Benito Juárez - Distrito Federal 
 372 m² construidos | 3 recs. ,"14,500,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 258 m² construidos | 3 recs. ,"8,550,000",Casa en venta , San José Insurgentes - Benito Juárez - Distrito Federal 
 240 m² construidos | 3 recs. ,"4,950,000",Casa en venta , Bertha 00 - Nativitas - Benito Juárez - Distrito Federal 
 194 m² construidos | 4 recs. ,"5,450,000",Casa en venta , MARIA HERNANDEZ ZARCO 8 - Alamos - Benito Juárez - Distrito Federal 
 770 m² construidos | 5 recs. ,"33,000,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 400 m² construidos | 3 recs. ,"13,000,000",Casa en venta , San José Insurgentes - Benito Juárez - Distrito Federal 
 215 m² construidos | 4 recs. ,"8,300,000",Casa en venta , Zempoala - Narvarte Oriente - Benito Juárez - Distrito Federal 
 326 m² construidos ,"10,900,000",Casa en venta , Av. Eugenia - Colonia Del Valle - Benito Juárez - Distrito Federal 
 250 m² construidos | 4 recs. ,"15,046,668",Casa en venta , Del Valle Sur - Benito Juárez - Distrito Federal 
 385 m² construidos ,"27,000,000",Casa en venta , Matías Romero - Del Valle Centro - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"1,382,000",Casa en venta , Benito Juárez - Distrito Federal 
 219 m² construidos | 3 recs. ,"12,587,000",Casa en venta , Providencia - Del Valle Centro - Benito Juárez - Distrito Federal 
 311 m² construidos | 3 recs. ,"13,500,000",Casa en venta , Mayorazgo de Luyando - Del Valle Centro - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"3,000,000",Casa en venta , Calle Balboa 740 - Portales Sur - Benito Juárez - Distrito Federal 
 300 m² construidos | 5 recs. ,"9,500,000",Casa en venta , Matias Romero - Del Valle Centro - Benito Juárez - Distrito Federal 
 259 m² construidos | 4 recs. ,"9,800,000",Casa en venta , Calle 5 16 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 311 m² construidos | 5 recs. ,"15,500,000",Casa en venta , Pestalozii - Narvarte Poniente - Benito Juárez - Distrito Federal 
 290 m² construidos | 3 recs. ,"14,000,000",Casa en venta , Súper Casa en Venta en Letran Valle. La Mejor - Letran Valle - Benito Juárez - Distrito Federal 
 276 m² construidos | 3 recs. ,"12,900,000",Casa en venta , Dallas - Nápoles - Benito Juárez - Distrito Federal 
 240 m² construidos | 4 recs. ,"5,850,000",Casa en venta , Alamos - Benito Juárez - Distrito Federal 
 188 m² construidos | 3 recs. ,"6,950,000",Casa en venta , ANAXAGORAS 0 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 235 m² construidos | 3 recs. ,"15,216,609",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 243 m² construidos | 4 recs. ,"9,800,000",Casa en venta , Pestalozzi - Narvarte Poniente - Benito Juárez - Distrito Federal 
 235 m² construidos | 3 recs. ,"15,216,609",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 243 m² construidos | 4 recs. ,"9,800,000",Casa en venta , Pestalozzi - Narvarte Poniente - Benito Juárez - Distrito Federal 
 290 m² construidos | 4 recs. ,"9,980,000",Casa en venta , Narvarte996 - Narvarte Oriente - Benito Juárez - Distrito Federal 
 240 m² construidos | 4 recs. ,"8,800,000",Casa en venta , Mier y Pesado - Del Valle Norte - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"11,000,000",Casa en venta , FELIX PARRA 176 - San José Insurgentes - Benito Juárez - Distrito Federal 
 364 m² construidos | 4 recs. ,"16,000,000",Casa en venta , Pitágoras - Narvarte Poniente - Benito Juárez - Distrito Federal 
 301 m² construidos | 3 recs. ,"10,900,000",Casa en venta , CERRADA DE XOLA 00 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 307 m² construidos | 5 recs. ,"10,700,000",Casa en venta , Empresa - San Juan - Benito Juárez - Distrito Federal 
 278 m² construidos | 4 recs. ,"12,000,000",Casa en venta , Pitágoras - Narvarte Poniente - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"3,000,000",Casa en venta , Calle Balboa 724 - Portales Sur - Benito Juárez - Distrito Federal 
 448 m² construidos | 4 recs. ,"15,450,000",Casa en venta , Peten - Narvarte - Benito Juárez - Distrito Federal 
 252 m² construidos | 4 recs. ,"9,980,000",Casa en venta , Miguel Laurent - Letran Valle - Benito Juárez - Distrito Federal 
 265 m² construidos | 4 recs. ,"8,000,000",Casa en venta , Cuicuilco - Letran Valle - Benito Juárez - Distrito Federal 
 400 m² construidos | 3 recs. ,"13,400,000",Casa en venta , San José Insurgentes - Benito Juárez - Distrito Federal 
 190 m² construidos | 3 recs. ,"3,500,000",Casa en venta , Avenida Emperadores 78 - Portales - Benito Juárez - Distrito Federal 
 373 m² construidos | 3 recs. ,"14,500,000",Casa en venta , Uvas 36 - Del Valle Centro - Benito Juárez - Distrito Federal 
 315 m² construidos | 3 recs. ,"9,650,000",Casa en venta , Ixcateopan - Letran Valle - Benito Juárez - Distrito Federal 
 350 m² construidos | 3 recs. ,"8,700,000",Casa en venta , SALOME PIÑA 60 - San José Insurgentes - Benito Juárez - Distrito Federal 
 386 m² construidos | 5 recs. ,"5,018,530",Casa en venta , Benito Juárez - Distrito Federal 
 244 m² construidos | 3 recs. ,"8,400,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 450 m² construidos | 3 recs. ,"15,500,000",Casa en venta , Pestalozzi - Narvarte Poniente - Benito Juárez - Distrito Federal 
 167 m² construidos | 3 recs. ,"6,700,000",Casa en venta , Av Primero de Mayo - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 247 m² construidos | 3 recs. ,"15,046,668",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 586 m² construidos | 5 recs. ,"43,000,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 350 m² construidos | 3 recs. ,"13,950,000",Casa en venta , Colorado - Nápoles - Benito Juárez - Distrito Federal 
 213 m² construidos | 3 recs. ,"6,500,000",Casa en venta , Cadiz - Alamos - Benito Juárez - Distrito Federal 
 348 m² construidos | 3 recs. ,"13,000,000",Casa en venta , Patricio Sanz - Del Valle Norte - Benito Juárez - Distrito Federal 
 334 m² construidos | 3 recs. ,"15,200,000",Casa en venta , RETORNO DE MAYORAZGO DE LUYANDO 43 - Xoco - Benito Juárez - Distrito Federal 
 276 m² construidos | 4 recs. ,"5,500,000",Casa en venta , Portales Norte - Benito Juárez - Distrito Federal 
 196 m² construidos | 3 recs. ,"9,814,544",Casa en venta , Mariscal Sucre - Del Valle Centro - Benito Juárez - Distrito Federal 
 188 m² construidos | 3 recs. ,"7,150,000",Casa en venta , ANAXAGORAS 00 - Narvarte - Benito Juárez - Distrito Federal 
 194 m² construidos | 5 recs. ,"6,700,000",Casa en venta , Presidentes 34 - Portales Oriente - Benito Juárez - Distrito Federal 
 360 m² construidos | 3 recs. ,"12,500,000",Casa en venta , Pilares - Del Valle Centro - Benito Juárez - Distrito Federal 
 183 m² construidos | 4 recs. ,"9,100,000",Casa en venta , Avenida Coyoacan - Del Valle Sur - Benito Juárez - Distrito Federal 
 460 m² construidos | 4 recs. ,"16,500,000",Casa en venta , Enrique Rebsamen - Narvarte Poniente - Benito Juárez - Distrito Federal 
 150 m² construidos | 3 recs. ,"4,100,000",Casa en venta , Calle Rumania 923 - Portales Sur - Benito Juárez - Distrito Federal 
 219 m² construidos | 2 recs. ,"6,700,000",Casa en venta , VISTA HERMOSA - General Pedro Maria Anaya - Benito Juárez - Distrito Federal 
 700 m² construidos | 4 recs. ,"17,480,000",Casa en venta , Georgia 20 - Nápoles - Benito Juárez - Distrito Federal 
 129 m² construidos | 3 recs. ,"8,400,000",Casa en venta , Patricio Sanz - Del Valle Centro - Benito Juárez - Distrito Federal 
 500 m² construidos | 4 recs. ,"17,000,000",Casa en venta , Narvarte Oriente - Benito Juárez - Distrito Federal 
 190 m² construidos | 3 recs. ,"7,450,000",Casa en venta , AMORES - Del Valle Centro - Benito Juárez - Distrito Federal 
 96 m² construidos | 2 recs. ,"4,890,000",Casa en venta , Rochester - Nápoles - Benito Juárez - Distrito Federal 
 490 m² construidos | 7 recs. ,"16,500,000",Casa en venta , PALENQUE 413 - Narvarte - Benito Juárez - Distrito Federal 
 264 m² construidos | 3 recs. ,"11,425,000",Casa en venta , SÁNCHEZ AZCONA 1539 - Del Valle Sur - Benito Juárez - Distrito Federal 
 392 m² construidos | 2 recs. ,"11,900,000",Casa en venta , Los Juárez - San José Insurgentes - Benito Juárez - Distrito Federal 
 488 m² construidos | 3 recs. ,"12,798,745",Casa en venta , Av. tres - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 345 m² construidos | 3 recs. ,"9,000,000",Casa en venta , Ixcateopan 201 - Letran Valle - Benito Juárez - Distrito Federal 
 170 m² construidos | 3 recs. ,"7,800,000",Casa en venta , Amores 1 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 245 m² cubiertos | 3 cuartos ,"13,209,000",Casa en venta , SAN Lorenzo - Benito Juárez - Distrito Federal 
 323 m² cubiertos | 4 cuartos ,"7,600,000",Casa en venta , Alhambra - Portales Sur - Benito Juárez - Distrito Federal 
 403 m² construidos | 3 cuartos ,"18,500,000",Casa en venta , Insurgentes Mixcoac - Benito Juárez - Distrito Federal 
 236 m² cubiertos | 4 recs. ,"7,500,000",Casa en venta , La Quemada 0001 - Narvarte Oriente - Benito Juárez - Distrito Federal 
 318 m² cubiertos | 5 cuartos ,"12,800,000",Casa en venta , Providencia - Del Valle Centro - Benito Juárez - Distrito Federal 
 230 m² construidos | 3 recs. ,"12,500,000",Casa en venta , Agustin González de Cosío - Del Valle Centro - Benito Juárez - Distrito Federal 
 250 m² construidos | 4 recs. ,"8,000,000",Casa en venta , Mitla 397 - Colonia Narvarte Oriente - Benito Juárez - Distrito Federal 
 188 m² construidos | 3 recs. ,"7,450,000",Casa en venta , Av. Amores - Del Valle Norte - Benito Juárez - Distrito Federal 
 240 m² construidos | 4 recs. ,"6,000,000",Casa en venta , LUIS BRAILE 250 - Independencia - Benito Juárez - Distrito Federal 
 81 m² construidos | 2 recs. ,"4,100,000",Casa en venta , Eje 8 Sur - Xoco - Benito Juárez - Distrito Federal 
 160 m² construidos | 3 cuartos ,"4,000,000",Casa en venta , Callejón Santísima 12 - Santa Cruz Atoyac - Benito Juárez - Distrito Federal 
 540 m² cubiertos | 6 cuartos ,"35,000,000",Casa en venta , ADOLFO PRIETO - Del Valle Sur - Benito Juárez - Distrito Federal 
 360 m² cubiertos | 3 cuartos ,"12,500,000",Casa en venta , Pilares - Del Valle Centro - Benito Juárez - Distrito Federal 
 133 m² construidos | 3 cuartos ,"7,698,978",Casa en venta , Uxmal - Narvarte Poniente - Benito Juárez - Distrito Federal 
 148 m² cubiertos | 2 recs. ,"6,500,000",Casa en venta , Av Primero de Mayo - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 174 m² construidos | 2 cuartos ,"6,200,000",Casa en venta , Aragón - Alamos - Benito Juárez - Distrito Federal 
 403 m² construidos | 4 recs. ,"18,500,000",Casa en venta , Malaga 0 - Mixcoac - Benito Juárez - Distrito Federal 
 317 m² construidos | 3 recs. ,"9,800,000",Casa en venta , IXCATEOPAN 1 - Letran Valle - Benito Juárez - Distrito Federal 
 368 m² construidos | 5 recs. ,"10,000,000",Casa en venta , San Pedro de los Pinos - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 192 m² cubiertos | 2 cuartos ,"8,600,000",Casa en venta , Miguel Serrano 13 - 4 - Del Valle Centro - Benito Juárez - Distrito Federal 
 296 m² cubiertos | 5 recs. ,"11,990,000",Casa en venta , EMPRESA 1 - Insurgentes Mixcoac - Benito Juárez - Distrito Federal 
 166 m² construidos | 3 recs. ,"6,000,000",Casa en venta , Calle Gabriel Mancera 46 - Del Valle Norte - Benito Juárez - Distrito Federal 
 238 m² construidos | 3 recs. ,"10,400,000",Casa en venta , Fragonard 48 - San Juan - Benito Juárez - Distrito Federal 
 306 m² cubiertos ,"11,800,000",Casa en venta , Mitla 0001 - Narvarte - Benito Juárez - Distrito Federal 
 400 m² construidos | 5 cuartos ,"19,700,000",Casa en venta , PETEN - Narvarte Oriente - Benito Juárez - Distrito Federal 
 662 m² construidos ,"34,000,000",Casa en venta , Adolfo Prieto - Del Valle Centro - Benito Juárez - Distrito Federal 
 370 m² construidos | 3 recs. ,"16,500,000",Casa en venta , CERRADA PERPETUA - San José Insurgentes - Benito Juárez - Distrito Federal 
 240 m² construidos | 3 recs. ,"8,300,000",Casa en venta , Aragón 269 - Alamos - Benito Juárez - Distrito Federal 
 900 m² construidos | 5 recs. ,"11,000,000",Casa en venta , Canarias 103 - Portales - Benito Juárez - Distrito Federal 
 184 m² construidos | 3 recs. ,"7,550,000",Casa en venta , Adolfo Prieto - Del Valle Centro - Benito Juárez - Distrito Federal 
 320 m² cubiertos | 4 cuartos ,"9,000,000",Casa en venta , Centenario 3 - Santa Cruz Atoyac - Benito Juárez - Distrito Federal 
 450 m² cubiertos | 6 cuartos ,"12,600,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 233 m² cubiertos | 3 recs. ,"7,300,000",Casa en venta , Adolfo Prieto - Del Valle Centro - Benito Juárez - Distrito Federal 
 210 m² cubiertos | 3 cuartos ,"2,320,000",Casa en venta , Isabel La Catolica 0 - Alamos - Benito Juárez - Distrito Federal 
 180 m² cubiertos | 3 cuartos ,"3,380,000",Casa en venta , Benito Juárez - Distrito Federal 
 470 m² cubiertos ,"31,000,000",Casa en venta , Calle 12 0001 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 553 m² construidos | 7 recs. ,"27,900,000",Casa en venta , Narvarte Poniente - Benito Juárez - Distrito Federal 
 315 m² construidos | 4 recs. ,"13,500,000",Casa en venta , Nicolas San Juan 1450 - Del Valle Centro - Benito Juárez - Distrito Federal 
 130 m² construidos | 2 recs. ,"5,800,000",Casa en venta , ALHAMBRA 1011 - Portales Sur - Benito Juárez - Distrito Federal 
 360 m² construidos | 3 recs. ,"12,500,000",Casa en venta , Pilares - Del Valle Centro - Benito Juárez - Distrito Federal 
 510 m² cubiertos | 7 cuartos ,"9,900,000",Casa en venta , Carrillo y Gariel - Iztaccíhuatl - Benito Juárez - Distrito Federal 
 216 m² cubiertos | 3 cuartos ,"9,200,000",Casa en venta , San José Insurgentes - Benito Juárez - Distrito Federal 
 580 m² cubiertos | 3 recs. ,"33,000,000",Casa en venta , 1CDA SAN BORJA - Del Valle Centro - Benito Juárez - Distrito Federal 
 480 m² cubiertos | 6 cuartos ,"20,000,000",Casa en venta , ARKANSAS - Nápoles - Benito Juárez - Distrito Federal 
 243 m² cubiertos | 4 cuartos ,"10,950,000",Casa en venta , Narvarte - Benito Juárez - Distrito Federal 
 550 m² cubiertos | 4 cuartos ,"29,000,000",Casa en venta , Del Valle Norte - Benito Juárez - Distrito Federal 
 389 m² construidos | 4 recs. ,"15,500,000",Casa en venta , ANEXAGORAS 29 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 183 m² construidos | 4 recs. ,"9,100,000",Casa en venta , Avenida Coyoacán - Del Valle Sur - Benito Juárez - Distrito Federal 
 261 m² construidos | 3 recs. ,"11,135,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 168 m² construidos | 3 recs. ,"7,290,000",Casa en venta , Calle 20 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 124 m² construidos | 3 recs. ,"2,700,000",Casa en venta , Castilla 142 - Alamos - Benito Juárez - Distrito Federal 
 141 m² construidos | 3 recs. ,"5,300,000",Casa en venta , Nativitas - Benito Juárez - Distrito Federal 
 590 m² construidos ,"32,500,000",Casa en venta , Yosemite - Nápoles - Benito Juárez - Distrito Federal 
 217 m² construidos | 3 recs. ,"10,350,000",Casa en venta , Cda. San Borja 0001 - Del Valle Centro - Benito Juárez - Distrito Federal 
 140 m² construidos | 2 recs. ,"5,800,000",Casa en venta , Portales Sur - Benito Juárez - Distrito Federal 
 550 m² construidos | 4 recs. ,"29,000,000",Casa en venta , AMORES - Del Valle Centro - Benito Juárez - Distrito Federal 
 229 m² construidos | 3 recs. ,"485,000",Casa en venta , Patricio Sanz - Del Valle Centro - Benito Juárez - Distrito Federal 
 220 m² construidos | 3 recs. ,"10,600,000",Casa en venta , Segunda privada de Romero de Terreros - Del Valle Norte - Benito Juárez - Distrito Federal 
 362 m² construidos | 3 recs. ,"10,470,000",Casa en venta , Nicolás San Juan - Narvarte - Benito Juárez - Distrito Federal 
 380 m² construidos | 3 recs. ,"8,500,000",Casa en venta , Iztaccíhuatl - Benito Juárez - Distrito Federal 
 310 m² construidos | 4 recs. ,"7,800,000",Casa en venta , Napoleón 00 - Moderna - Benito Juárez - Distrito Federal 
 227 m² construidos | 3 recs. ,"9,500,000",Casa en venta , Calle San Francisco 001 - Del Valle Norte - Benito Juárez - Distrito Federal 
 500 m² construidos | 4 recs. ,"19,200,000",Casa en venta , Miraflores - Insurgentes San Borja - Benito Juárez - Distrito Federal 
 298 m² construidos | 3 recs. ,"15,800,000",Casa en venta , Xoco - Benito Juárez - Distrito Federal 
 307 m² construidos | 5 recs. ,"11,000,000",Casa en venta , Providencia - 8 De Agosto - Benito Juárez - Distrito Federal 
 219 m² construidos | 3 recs. ,"11,000,000",Casa en venta , Segunda Cerrada de Romero de Terreros - Del Valle Norte - Benito Juárez - Distrito Federal 
 180 m² construidos | 2 recs. ,"6,295,000",Casa en venta ," 150, avenida 1ero de mayoAvenida 1ero de Mayo - San Pedro De Los Pinos - Benito Juárez - Distrito Federal "
 385 m² construidos | 7 recs. ,"11,000,000",Casa en venta , Víctor Hugo - Albert - Benito Juárez - Distrito Federal 
 365 m² construidos | 3 recs. ,"12,000,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 257 m² construidos | 4 recs. ,"7,300,000",Casa en venta , SAN FELIPE 1 - Xoco - Benito Juárez - Distrito Federal 
 330 m² construidos | 4 recs. ,"8,900,000",Casa en venta , Zempoala - Narvarte - Benito Juárez - Distrito Federal 
 412 m² construidos ,"11,900,000",Casa en venta , General Pedro Maria Anaya - Benito Juárez - Distrito Federal 
 311 m² construidos | 5 recs. ,"16,000,000",Casa en venta , PESTALOZZI - Narvarte Poniente - Benito Juárez - Distrito Federal 
